coin;type_id
NED_1G;1285
UK_20P;573
GER_500M;7978
GER_1P;3423
BOHEMIA;3063
GER_1MARK;2031
ARMENIA;3067
GER_1MARK_DEM;6076
ZAMBIA;3514
NOR_5ORE;4142
UK_HALF52;3593
MEX_500P;819
FRANCE_5C;689
NED_10C;3115
ZAMBIA_1N;2628
BHUTAN;5107
CHAD;1802
CAMEROON;10059
MONACO;805
MAURITANIA;25611
BURUNDI;4387
50p_3rd;866
farthing_53;7396
sweden_10re;4036
ned_25_48;1367
ned_5_48;1901
50pfe_banks;1955
den1ore;5059
den2ore;6400
den25re;3803
bra_100cruzeiros;4052
british_africa;3032
25francs_togo;10058
